subject_field,train_size,val_size,test_size,MAE,MSE,RMSE,R2,MAPE,Spearman,composite_score
CHEMISTRY,1284,428,429,89.0324,11231.0908,105.9768,0.9713,13.9979,0.9993,0.9687
ENVIRONMENT ECOLOGY,1239,413,414,103.5099,16374.9561,127.9647,0.9543,22.2881,0.9995,0.9427
MATERIALS SCIENCE,948,316,316,103.9136,15569.6426,124.7784,0.9182,24.9757,0.9985,0.928
BIOLOGY & BIOCHEMISTRY,989,330,330,111.5949,17290.1387,131.492,0.9221,27.8132,0.9995,0.9262
MOLECULAR BIOLOGY & GENETICS,701,234,234,115.4697,15446.8291,124.2853,0.8563,37.8033,0.9997,0.9078
IMMUNOLOGY,705,236,236,116.5409,19318.5547,138.9912,0.8245,33.3071,0.9989,0.8935
PHYSICS,597,199,199,112.2467,14491.7012,120.3815,0.815,40.4756,0.9976,0.8865
PSYCHIATRY PSYCHOLOGY,687,230,230,126.5872,20757.7832,144.0756,0.8085,47.1444,0.9977,0.8623
NEUROSCIENCE & BEHAVIOR,778,260,260,151.2743,28608.4043,169.1402,0.7928,39.0118,0.9993,0.8541
PLANT & ANIMAL SCIENCE,1170,390,390,156.4866,42268.4648,205.593,0.8676,23.5528,0.9962,0.8395
ENGINEERING,1671,558,558,188.7304,59192.457,243.295,0.9057,17.3597,0.9992,0.8371
AGRICULTURAL SCIENCES,828,276,277,148.9442,37513.9141,193.6851,0.7385,29.2748,0.9982,0.8344
COMPUTER SCIENCE,517,173,173,130.6975,20687.2949,143.8308,0.6742,53.9258,0.9975,0.8279
PHARMACOLOGY & TOXICOLOGY,833,278,278,161.9498,41213.3828,203.0108,0.7458,28.8951,0.9985,0.8269
GEOSCIENCES,705,235,235,163.8701,32894.4648,181.3683,0.6963,42.4583,0.9997,0.8243
"SOCIAL SCIENCES, GENERAL",1443,482,482,180.1606,58373.5352,241.6062,0.8702,22.0968,0.9853,0.7348
SPACE SCIENCE,141,47,48,62.5696,4396.3945,66.3053,0.1233,73.3837,0.9908,0.7266
ECONOMICS & BUSINESS,325,109,109,112.7413,14912.8477,122.1182,0.4834,142.2748,0.9928,0.6957
MICROBIOLOGY,481,161,161,188.4587,43429.25,208.3969,0.2052,68.3937,0.9985,0.6756
MATHEMATICS,237,79,79,111.3772,14846.3232,121.8455,0.0531,173.6567,0.9957,0.6077
MULTIDISCIPLINARY,129,43,44,70.6473,5746.3008,75.8044,-0.6625,70.5843,0.9858,0.5428
CLINICAL MEDICINE,4052,1351,1351,392.5213,283058.2812,532.0322,0.9262,26.9446,0.9982,0.5192
