subject_field,train_size,val_size,test_size,MAE,MSE,RMSE,R2,MAPE,Spearman,composite_score
PHARMACOLOGY & TOXICOLOGY,833,278,278,5.2247,79.261,8.9029,0.9995,1.6149,0.9998,0.9799
GEOSCIENCES,705,235,235,5.6115,66.9102,8.1799,0.9994,3.5986,0.9999,0.9572
ENVIRONMENT ECOLOGY,1239,413,414,9.1409,128.5037,11.3359,0.9996,2.4862,0.9999,0.9537
ECONOMICS & BUSINESS,325,109,109,3.7718,21.5674,4.6441,0.9993,5.4881,0.9997,0.9464
MATERIALS SCIENCE,948,316,316,8.3385,112.5982,10.6112,0.9994,3.4929,0.9999,0.9422
BIOLOGY & BIOCHEMISTRY,989,330,330,8.7204,151.3584,12.3028,0.9993,3.0859,0.9998,0.9384
IMMUNOLOGY,705,236,236,8.9391,103.9563,10.1959,0.9991,3.595,0.9999,0.9313
MOLECULAR BIOLOGY & GENETICS,701,234,234,8.9505,149.0189,12.2073,0.9986,3.5647,0.9997,0.9146
MICROBIOLOGY,481,161,161,6.6848,63.0019,7.9374,0.9988,6.0951,0.9997,0.9124
COMPUTER SCIENCE,517,173,173,8.6173,111.7644,10.5719,0.9982,4.3952,0.9998,0.9046
PSYCHIATRY PSYCHOLOGY,687,230,230,8.7417,124.6349,11.164,0.9989,5.6922,0.9996,0.8991
NEUROSCIENCE & BEHAVIOR,778,260,260,10.3851,177.0893,13.3075,0.9987,5.1351,0.9998,0.8934
CHEMISTRY,1284,428,429,15.1117,323.1801,17.9772,0.9992,4.6724,0.9999,0.8785
ENGINEERING,1671,558,558,17.3976,627.732,25.0546,0.999,3.5033,0.9997,0.8556
PHYSICS,597,199,199,10.0372,230.308,15.1759,0.9971,7.3336,0.9986,0.8119
MATHEMATICS,237,79,79,4.4809,46.2264,6.799,0.9971,15.8572,0.9994,0.7756
AGRICULTURAL SCIENCES,828,276,277,18.6466,642.3906,25.3454,0.9955,3.3062,0.9993,0.7659
SPACE SCIENCE,141,47,48,4.8619,39.1684,6.2585,0.9922,10.86,0.9934,0.6262
PLANT & ANIMAL SCIENCE,1170,390,390,25.1925,2284.033,47.7916,0.9928,4.4006,0.997,0.5558
MULTIDISCIPLINARY,129,43,44,4.7616,47.1089,6.8636,0.9864,6.2625,0.9941,0.553
CLINICAL MEDICINE,4052,1351,1351,39.4549,7353.3433,85.7516,0.9981,10.8244,0.999,0.4044
"SOCIAL SCIENCES, GENERAL",1443,482,482,35.774,5624.4185,74.9961,0.9875,3.4842,0.9939,0.2337
