subject_field,train_size,val_size,test_size,MAE,MSE,RMSE,R2,MAPE,Spearman,composite_score
MATERIALS SCIENCE,948,316,316,35.7173,2223.1472,47.1503,0.9883,8.3506,0.9942,0.9659
MOLECULAR BIOLOGY & GENETICS,701,234,234,32.6784,1836.8525,42.8585,0.9829,8.789,0.992,0.9378
PSYCHIATRY PSYCHOLOGY,687,230,230,37.891,2987.7942,54.6607,0.9724,9.3165,0.9868,0.8651
PHYSICS,597,199,199,33.2385,1896.4985,43.5488,0.9758,12.2792,0.9882,0.8647
ENVIRONMENT ECOLOGY,1239,413,414,61.7705,7964.8638,89.2461,0.9778,10.5409,0.9898,0.8455
CHEMISTRY,1284,428,429,66.8298,8480.6338,92.0904,0.9783,11.6791,0.9917,0.8368
IMMUNOLOGY,705,236,236,43.8164,3690.0588,60.7459,0.9665,8.9916,0.9871,0.8362
BIOLOGY & BIOCHEMISTRY,989,330,330,61.8555,5885.7568,76.7187,0.9735,13.4817,0.9904,0.8097
NEUROSCIENCE & BEHAVIOR,778,260,260,45.215,4929.229,70.2085,0.9643,9.9066,0.9829,0.8007
PLANT & ANIMAL SCIENCE,1170,390,390,71.5779,9477.9209,97.3546,0.9703,11.4541,0.9848,0.7803
GEOSCIENCES,705,235,235,45.647,4619.8955,67.9698,0.9573,11.2322,0.9801,0.7528
MULTIDISCIPLINARY,129,43,44,11.3204,213.7519,14.6203,0.9382,11.5141,0.9658,0.6855
AGRICULTURAL SCIENCES,828,276,277,55.0127,8169.2842,90.3841,0.943,11.487,0.974,0.6537
PHARMACOLOGY & TOXICOLOGY,833,278,278,61.2209,8309.9775,91.1591,0.9487,13.9347,0.9737,0.6491
MICROBIOLOGY,481,161,161,38.915,2666.3296,51.6365,0.9512,20.7836,0.9705,0.6272
"SOCIAL SCIENCES, GENERAL",1443,482,482,103.6886,21838.1953,147.7775,0.9514,11.5283,0.975,0.615
ENGINEERING,1671,558,558,111.4639,28060.9082,167.5139,0.9553,12.5293,0.9783,0.6088
ECONOMICS & BUSINESS,325,109,109,27.5735,1468.481,38.3208,0.9491,24.4027,0.9701,0.599
COMPUTER SCIENCE,517,173,173,45.8323,4014.8337,63.3627,0.9368,16.5654,0.9701,0.5933
SPACE SCIENCE,141,47,48,14.68,389.3211,19.7312,0.9224,17.8053,0.9558,0.5296
MATHEMATICS,237,79,79,21.1812,1302.2479,36.0867,0.9169,17.3561,0.9635,0.5181
CLINICAL MEDICINE,4052,1351,1351,222.21,125490.7031,354.2467,0.9673,14.4646,0.9846,0.3794
