专业,rowSeq,institutions,Country,wosDocs,cites,citesPerPaper
AGRICULTURAL SCIENCES,1,CHINESE ACADEMY OF SCIENCES,CHINA MAINLAND,15661,332254,21.21537577421620586169465551369644339442
AGRICULTURAL SCIENCES,2,CHINESE ACADEMY OF AGRICULTURAL SCIENCES,CHINA MAINLAND,12222,223855,18.31574210440189821633120602192767141221
AGRICULTURAL SCIENCES,3,UNITED STATES DEPARTMENT OF AGRICULTURE (USDA),USA,12564,220644,17.56160458452722063037249283667621776504
AGRICULTURAL SCIENCES,4,CHINA AGRICULTURAL UNIVERSITY,CHINA MAINLAND,10052,207779,20.67041384799044966175885395941106247513
AGRICULTURAL SCIENCES,5,INRAE,FRANCE,9314,187838,20.16727506978741679192613270345716126262
AGRICULTURAL SCIENCES,6,JIANGNAN UNIVERSITY,CHINA MAINLAND,8027,181325,22.58938582284788837672854117353930484614
AGRICULTURAL SCIENCES,7,NORTHWEST A&F UNIVERSITY - CHINA,CHINA MAINLAND,9024,180634,20.01706560283687943262411347517730496454
AGRICULTURAL SCIENCES,8,WAGENINGEN UNIVERSITY & RESEARCH,NETHERLANDS,6819,172734,25.33128024637043554773427188737351517818
AGRICULTURAL SCIENCES,9,CONSEJO SUPERIOR DE INVESTIGACIONES CIENTIFICAS (CSIC),SPAIN,7656,167593,21.89041274817136886102403343782654127482
AGRICULTURAL SCIENCES,10,NANJING AGRICULTURAL UNIVERSITY,CHINA MAINLAND,6480,137921,21.28410493827160493827160493827160493827
AGRICULTURAL SCIENCES,11,UNIVERSITY OF CALIFORNIA SYSTEM,USA,6175,129479,20.96825910931174089068825910931174089069
AGRICULTURAL SCIENCES,12,"UNIVERSITY OF CHINESE ACADEMY OF SCIENCES, CAS",CHINA MAINLAND,5950,127682,21.45915966386554621848739495798319327731
AGRICULTURAL SCIENCES,13,ZHEJIANG UNIVERSITY,CHINA MAINLAND,5313,125715,23.66177300959909655561829474872953133823
AGRICULTURAL SCIENCES,14,EGYPTIAN KNOWLEDGE BANK (EKB),EGYPT,7861,117405,14.93512275791883984225925454776745961074
AGRICULTURAL SCIENCES,15,INDIAN COUNCIL OF AGRICULTURAL RESEARCH (ICAR),INDIA,12753,111262,8.72437857758958676389869050419509135105
AGRICULTURAL SCIENCES,16,SOUTH CHINA UNIVERSITY OF TECHNOLOGY,CHINA MAINLAND,3524,108282,30.72701475595913734392735527809307604994
