institution_name,country_region,cluster,cluster_label
(ADVENTHEALTH) CENTRAL FLORIDA DIVISION,USA,0,"发展中/教学研究型（强项：CLINICAL MEDICINE, ENGINEERING, SOCIAL SCIENCES, GENERAL）"
(ADVENTHEALTH) WEST FLORIDA DIVISION,USA,0,"发展中/教学研究型（强项：CLINICAL MEDICINE, ENGINEERING, SOCIAL SCIENCES, GENERAL）"
"1003 PACIFIC ST,STE 1106",1,0,"发展中/教学研究型（强项：CLINICAL MEDICINE, ENGINEERING, SOCIAL SCIENCES, GENERAL）"
"23ANDME, INC.",USA,0,"发展中/教学研究型（强项：CLINICAL MEDICINE, ENGINEERING, SOCIAL SCIENCES, GENERAL）"
"55 LIVINGSTON RD,STE 1014",1,0,"发展中/教学研究型（强项：CLINICAL MEDICINE, ENGINEERING, SOCIAL SCIENCES, GENERAL）"
A O MATER DOMINI,N/A,0,"发展中/教学研究型（强项：CLINICAL MEDICINE, ENGINEERING, SOCIAL SCIENCES, GENERAL）"
A T STILL UNIV,N/A,0,"发展中/教学研究型（强项：CLINICAL MEDICINE, ENGINEERING, SOCIAL SCIENCES, GENERAL）"
A&R RES GRP LLC,N/A,0,"发展中/教学研究型（强项：CLINICAL MEDICINE, ENGINEERING, SOCIAL SCIENCES, GENERAL）"
A*STAR - BIOINFORMATICS INSTITUTE (BII),SINGAPORE,0,"发展中/教学研究型（强项：CLINICAL MEDICINE, ENGINEERING, SOCIAL SCIENCES, GENERAL）"
A*STAR - GENOME INSTITUTE OF SINGAPORE (GIS),SINGAPORE,0,"发展中/教学研究型（强项：CLINICAL MEDICINE, ENGINEERING, SOCIAL SCIENCES, GENERAL）"
A*STAR - INSTITUTE FOR INFOCOMM RESEARCH (I2R),SINGAPORE,0,"发展中/教学研究型（强项：CLINICAL MEDICINE, ENGINEERING, SOCIAL SCIENCES, GENERAL）"
A*STAR - INSTITUTE OF BIOENGINEERING & BIOIMAGING (IBB),SINGAPORE,0,"发展中/教学研究型（强项：CLINICAL MEDICINE, ENGINEERING, SOCIAL SCIENCES, GENERAL）"
A*STAR - INSTITUTE OF HIGH PERFORMANCE COMPUTING (IHPC),SINGAPORE,2,"全球综合型强校（强项：ENGINEERING, CHEMISTRY, ENVIRONMENT ECOLOGY）"
A*STAR - INSTITUTE OF MATERIALS RESEARCH & ENGINEERING (IMRE),SINGAPORE,2,"全球综合型强校（强项：ENGINEERING, CHEMISTRY, ENVIRONMENT ECOLOGY）"
A*STAR - INSTITUTE OF MEDICAL BIOLOGY (IMB),SINGAPORE,0,"发展中/教学研究型（强项：CLINICAL MEDICINE, ENGINEERING, SOCIAL SCIENCES, GENERAL）"
A*STAR - INSTITUTE OF MOLECULAR & CELL BIOLOGY (IMCB),SINGAPORE,0,"发展中/教学研究型（强项：CLINICAL MEDICINE, ENGINEERING, SOCIAL SCIENCES, GENERAL）"
"A*STAR - INSTITUTE OF SUSTAINABILITY FOR CHEMICALS, ENERGY & ENVIRONMENT (ISCE2)",SINGAPORE,0,"发展中/教学研究型（强项：CLINICAL MEDICINE, ENGINEERING, SOCIAL SCIENCES, GENERAL）"
A*STAR - SINGAPORE IMMUNOLOGY NETWORK (SIGN),SINGAPORE,0,"发展中/教学研究型（强项：CLINICAL MEDICINE, ENGINEERING, SOCIAL SCIENCES, GENERAL）"
A*STAR - SINGAPORE INSTITUTE FOR CLINICAL SCIENCES (SICS),SINGAPORE,0,"发展中/教学研究型（强项：CLINICAL MEDICINE, ENGINEERING, SOCIAL SCIENCES, GENERAL）"
