subject_field,ecnu_rank,rank_percentile(%),cites_per_paper,cites_per_paper_percentile(%),top_papers,top_papers_percentile(%)
CHEMISTRY,90,95.84,30.33,86.69,157,96.87
ENVIRONMENT ECOLOGY,130,93.76,31.31,71.06,101,96.32
ENGINEERING,317,88.66,21.6,79.15,86,94.51
MATERIALS SCIENCE,196,87.66,34.55,79.24,57,88.54
"SOCIAL SCIENCES, GENERAL",314,87.0,12.65,46.45,51,91.73
PLANT & ANIMAL SCIENCE,395,79.79,15.89,50.15,26,78.72
GEOSCIENCES,275,76.68,22.79,49.02,38,77.7
COMPUTER SCIENCE,207,76.13,12.39,16.22,25,79.72
MATHEMATICS,115,71.14,5.94,19.24,22,67.59
PSYCHIATRY PSYCHOLOGY,467,59.37,10.44,3.05,7,35.48
CLINICAL MEDICINE,2852,57.79,17.95,16.78,12,51.73
BIOLOGY & BIOCHEMISTRY,721,56.34,23.23,34.32,18,69.07
PHYSICS,522,47.64,14.54,7.94,47,53.87
AGRICULTURAL SCIENCES,845,38.88,18.82,51.92,4,38.16
NEUROSCIENCE & BEHAVIOR,853,34.36,18.54,8.01,7,21.73
MOLECULAR BIOLOGY & GENETICS,867,25.92,38.66,22.84,6,12.92
PHARMACOLOGY & TOXICOLOGY,1064,23.47,19.7,56.8,5,42.48
