subject_field,best_model,n_train,n_val,n_test,MAE,RMSE,Spearman
MULTIDISCIPLINARY,rf,129,43,44,67.96,69.14,-0.219
SPACE SCIENCE,rf,141,47,48,73.64,74.93,0.221
MATHEMATICS,rf,237,79,79,121.03,123.16,0.127
ECONOMICS & BUSINESS,rf,325,108,110,165.51,168.52,0.104
MICROBIOLOGY,rf,481,160,162,243.31,247.76,0.038
COMPUTER SCIENCE,rf,517,172,174,261.46,266.24,-0.093
PHYSICS,rf,597,199,199,301.42,306.84,0.057
PSYCHIATRY PSYCHOLOGY,rf,688,229,230,346.85,353.15,-0.16
MOLECULAR BIOLOGY & GENETICS,rf,701,233,235,353.0,359.46,-0.075
GEOSCIENCES,rf,705,235,235,355.4,361.82,-0.011
IMMUNOLOGY,rf,706,235,236,355.41,361.88,0.017
NEUROSCIENCE & BEHAVIOR,rf,778,259,261,393.81,401.63,-0.069
AGRICULTURAL SCIENCES,rf,828,276,277,416.99,424.58,-0.009
PHARMACOLOGY & TOXICOLOGY,rf,833,277,279,418.74,426.41,-0.034
MATERIALS SCIENCE,rf,948,316,316,476.45,485.11,-0.003
BIOLOGY & BIOCHEMISTRY,rf,989,329,331,496.94,506.03,0.104
PLANT & ANIMAL SCIENCE,rf,1170,390,390,588.84,600.28,0.081
ENVIRONMENT ECOLOGY,rf,1239,413,414,622.37,633.74,-0.268
CHEMISTRY,rf,1284,428,429,645.21,657.0,-0.057
"SOCIAL SCIENCES, GENERAL",rf,1444,481,482,726.97,741.14,0.043
ENGINEERING,rf,1672,557,558,838.16,853.49,0.119
CLINICAL MEDICINE,rf,4052,1350,1352,2028.73,2065.99,0.219
