institution_name,country_region,similarity,cluster,cluster_label
UNIVERSITY OF WATERLOO,CANADA,0.9544,1,"全球综合型强校（强项：CLINICAL MEDICINE, SOCIAL SCIENCES, GENERAL, BIOLOGY & BIOCHEMISTRY）"
BEIJING NORMAL UNIVERSITY,CHINA MAINLAND,0.9502,1,"全球综合型强校（强项：CLINICAL MEDICINE, SOCIAL SCIENCES, GENERAL, BIOLOGY & BIOCHEMISTRY）"
UNIVERSITY OF ELECTRONIC SCIENCE & TECHNOLOGY OF CHINA,CHINA MAINLAND,0.9468,1,"全球综合型强校（强项：CLINICAL MEDICINE, SOCIAL SCIENCES, GENERAL, BIOLOGY & BIOCHEMISTRY）"
CHONGQING UNIVERSITY,CHINA MAINLAND,0.9463,2,"全球综合型强校（强项：ENGINEERING, CHEMISTRY, ENVIRONMENT ECOLOGY）"
UNIVERSITY OF VICTORIA,CANADA,0.9423,2,"全球综合型强校（强项：ENGINEERING, CHEMISTRY, ENVIRONMENT ECOLOGY）"
NANJING NORMAL UNIVERSITY,CHINA MAINLAND,0.9413,2,"全球综合型强校（强项：ENGINEERING, CHEMISTRY, ENVIRONMENT ECOLOGY）"
NORWEGIAN UNIVERSITY OF SCIENCE & TECHNOLOGY (NTNU),NORWAY,0.9393,1,"全球综合型强校（强项：CLINICAL MEDICINE, SOCIAL SCIENCES, GENERAL, BIOLOGY & BIOCHEMISTRY）"
SHENZHEN UNIVERSITY,CHINA MAINLAND,0.9358,1,"全球综合型强校（强项：CLINICAL MEDICINE, SOCIAL SCIENCES, GENERAL, BIOLOGY & BIOCHEMISTRY）"
SOUTHWEST UNIVERSITY - CHINA,CHINA MAINLAND,0.9338,1,"全球综合型强校（强项：CLINICAL MEDICINE, SOCIAL SCIENCES, GENERAL, BIOLOGY & BIOCHEMISTRY）"
ISLAMIC AZAD UNIVERSITY,IRAN,0.9335,1,"全球综合型强校（强项：CLINICAL MEDICINE, SOCIAL SCIENCES, GENERAL, BIOLOGY & BIOCHEMISTRY）"
UNIVERSITY OF WOLLONGONG,AUSTRALIA,0.9327,1,"全球综合型强校（强项：CLINICAL MEDICINE, SOCIAL SCIENCES, GENERAL, BIOLOGY & BIOCHEMISTRY）"
UNIVERSITY OF BASQUE COUNTRY,SPAIN,0.9319,1,"全球综合型强校（强项：CLINICAL MEDICINE, SOCIAL SCIENCES, GENERAL, BIOLOGY & BIOCHEMISTRY）"
DALIAN UNIVERSITY OF TECHNOLOGY,CHINA MAINLAND,0.9275,2,"全球综合型强校（强项：ENGINEERING, CHEMISTRY, ENVIRONMENT ECOLOGY）"
UNIVERSITY OF DELAWARE,USA,0.9273,1,"全球综合型强校（强项：CLINICAL MEDICINE, SOCIAL SCIENCES, GENERAL, BIOLOGY & BIOCHEMISTRY）"
GEORGIA INSTITUTE OF TECHNOLOGY,USA,0.927,1,"全球综合型强校（强项：CLINICAL MEDICINE, SOCIAL SCIENCES, GENERAL, BIOLOGY & BIOCHEMISTRY）"
UNIVERSITY OF QUEBEC,CANADA,0.9266,1,"全球综合型强校（强项：CLINICAL MEDICINE, SOCIAL SCIENCES, GENERAL, BIOLOGY & BIOCHEMISTRY）"
VIRGINIA POLYTECHNIC INSTITUTE & STATE UNIVERSITY,USA,0.9257,1,"全球综合型强校（强项：CLINICAL MEDICINE, SOCIAL SCIENCES, GENERAL, BIOLOGY & BIOCHEMISTRY）"
SOUTH CHINA NORMAL UNIVERSITY,CHINA MAINLAND,0.923,2,"全球综合型强校（强项：ENGINEERING, CHEMISTRY, ENVIRONMENT ECOLOGY）"
UNIVERSITY OF GRANADA,SPAIN,0.9229,1,"全球综合型强校（强项：CLINICAL MEDICINE, SOCIAL SCIENCES, GENERAL, BIOLOGY & BIOCHEMISTRY）"
LANZHOU UNIVERSITY,CHINA MAINLAND,0.9229,1,"全球综合型强校（强项：CLINICAL MEDICINE, SOCIAL SCIENCES, GENERAL, BIOLOGY & BIOCHEMISTRY）"
